utterance_id,emotion,start_sec,end_sec,source_emotion_file,duration_sec,session,speaker,gender_proxy,transcript,source_transcription_file,n_words,wav_path
Ses01F_impro01_F013,fru,93.67,97.0218,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,3.3517999999999972,Ses01,Ses01F,F,How long have you been working here?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,7,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F013.wav
Ses01F_impro01_F014,neu,97.89,102.96,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,5.069999999999993,Ses01,Ses01F,F,"Clearly.  You know, do you have like a supervisor or something?",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,11,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F014.wav
Ses01F_impro01_F015,fru,103.97,106.71,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.739999999999995,Ses01,Ses01F,F,That would - I would appreciate that.  Yeah.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,8,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_F015.wav
Ses01F_impro01_M000,fru,7.5712,10.475,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.9037999999999995,Ses01,Ses01F,F,Do you have your forms?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M000.wav
Ses01F_impro01_M001,fru,10.9266,14.6649,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,3.738299999999999,Ses01,Ses01F,F,Let me see them.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,4,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M001.wav
Ses01F_impro01_M002,fru,16.8352,19.7175,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.8823000000000008,Ses01,Ses01F,F,Who told you to get in this line?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,8,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M002.wav
Ses01F_impro01_M003,fru,23.47,28.03,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.560000000000002,Ses01,Ses01F,F,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,19,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M003.wav
Ses01F_impro01_M004,fru,28.395,31.2117,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.816700000000001,Ses01,Ses01F,F,This form is a Z.X.four.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M004.wav
Ses01F_impro01_M005,fru,31.266,39.3875,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,8.121500000000005,Ses01,Ses01F,F,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,26,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M005.wav
Ses01F_impro01_M006,fru,41.23,46.98,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,5.75,Ses01,Ses01F,F,No. I need another set of ID to prove this is actually you.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,13,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M006.wav
Ses01F_impro01_M007,fru,51.4,57.64,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,6.240000000000002,Ses01,Ses01F,F,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,22,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M007.wav
Ses01F_impro01_M008,fru,58.18,62.59,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.410000000000004,Ses01,Ses01F,F,"No.  I need another ID, a separate one.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,8,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M008.wav
Ses01F_impro01_M009,fru,65.51,73.0,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,7.489999999999995,Ses01,Ses01F,F,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,13,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M009.wav
Ses01F_impro01_M010,fru,81.59,86.03,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.439999999999998,Ses01,Ses01F,F,"Yeah.  We keep it on file, but we need an ID to access that file.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,15,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M010.wav
Ses01F_impro01_M011,ang,87.15,94.39,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,7.239999999999995,Ses01,Ses01F,F,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,24,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M011.wav
Ses01F_impro01_M013,ang,101.84,107.87,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,6.030000000000001,Ses01,Ses01F,F,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro01.txt,22,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro01/Ses01F_impro01_M013.wav
Ses01F_impro02_F000,sad,7.2688,16.6,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,9.331200000000003,Ses01,Ses01F,F,Did you get the mail? So you saw my letter?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,10,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F000.wav
Ses01F_impro02_F001,sad,19.85,22.78,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.9299999999999997,Ses01,Ses01F,F,Yeah.  I know.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,3,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F001.wav
Ses01F_impro02_F002,sad,26.5659,32.2895,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.723599999999998,Ses01,Ses01F,F,I don't know.  I put in that. request too. They didn't...,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,11,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F002.wav
Ses01F_impro02_F003,neu,32.3075,37.96,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.652500000000003,Ses01,Ses01F,F,"I guess, you know, everybody has to make sacrifices.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,9,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F003.wav
Ses01F_impro02_F004,sad,47.34,53.11,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.769999999999996,Ses01,Ses01F,F,"There's people that have given more though, you know?",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,9,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F004.wav
Ses01F_impro02_F005,sad,58.75,61.31,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.5600000000000023,Ses01,Ses01F,F,I know.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,2,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F005.wav
Ses01F_impro02_F006,neu,64.255,68.47,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.215000000000003,Ses01,Ses01F,F,"There's babies over there, though, that need mothers.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,8,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F006.wav
Ses01F_impro02_F008,sad,87.2031,91.09,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.886899999999997,Ses01,Ses01F,F,"Just, you know, kicking myself.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F008.wav
Ses01F_impro02_F010,sad,97.94,102.19,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.25,Ses01,Ses01F,F,things just aren't what they seem.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,6,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F010.wav
Ses01F_impro02_F012,sad,117.83,120.8605,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.0305000000000035,Ses01,Ses01F,F,"If not me then, who?",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F012.wav
Ses01F_impro02_F013,sad,127.82,133.9455,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.125500000000017,Ses01,Ses01F,F,"You'll videotape everything, yeah?",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,4,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F013.wav
Ses01F_impro02_F014,sad,139.03,146.43,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,7.400000000000006,Ses01,Ses01F,F,"Maybe you can send it to me, like stream it, yeah?",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,11,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F014.wav
Ses01F_impro02_F015,sad,151.4221,155.01,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.5878999999999905,Ses01,Ses01F,F,Last month--  Yeah.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,3,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F015.wav
Ses01F_impro02_F016,neu,163.54,165.73,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.1899999999999977,Ses01,Ses01F,F,I have to find sitters.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F016.wav
Ses01F_impro02_F017,sad,169.36,176.015,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.654999999999973,Ses01,Ses01F,F,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,18,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F017.wav
Ses01F_impro02_F018,neu,176.08,179.13,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.049999999999983,Ses01,Ses01F,F,And your mother is close by.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,6,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F018.wav
Ses01F_impro02_F019,sad,182.83,185.8894,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.0593999999999824,Ses01,Ses01F,F,I'll send you lots of letters.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,6,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F019.wav
Ses01F_impro02_F020,sad,186.58,191.11,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.530000000000001,Ses01,Ses01F,F,And I want lots and lots and lots of pictures.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,10,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_F020.wav
Ses01F_impro02_M001,sad,21.76,27.5558,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.7958,Ses01,Ses01F,F,"I don't understand.  You've already done so much, I don't know why do you have to go back.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,18,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M001.wav
Ses01F_impro02_M003,fru,52.71,59.0534,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.343400000000003,Ses01,Ses01F,F,I just don't see how they can make you leave when you have a new baby - we have a new kid.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,22,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M003.wav
Ses01F_impro02_M005,sad,69.34,74.29,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.950000000000003,Ses01,Ses01F,F,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,20,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M005.wav
Ses01F_impro02_M008,fru,110.5653,113.2,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.6347000000000094,Ses01,Ses01F,F,I know.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,2,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M008.wav
Ses01F_impro02_M009,sad,114.1775,117.85,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.6724999999999994,Ses01,Ses01F,F,I just don't see why it has to be you.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,10,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M009.wav
Ses01F_impro02_M010,sad,120.4105,124.63,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.2194999999999965,Ses01,Ses01F,F,What am I going to do? Huh?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,7,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M010.wav
Ses01F_impro02_M011,sad,133.88,137.1,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.219999999999999,Ses01,Ses01F,F,Yeah.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,1,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M011.wav
Ses01F_impro02_M012,neu,147.03,151.7101,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.68010000000001,Ses01,Ses01F,F,Don't you guys have access to computers over there.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,9,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M012.wav
Ses01F_impro02_M013,sad,157.98,162.71,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.730000000000018,Ses01,Ses01F,F,I just don't know how I'm going to do it without you.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,12,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M013.wav
Ses01F_impro02_M014,sad,164.885,169.5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.615000000000009,Ses01,Ses01F,F,I can't raise a baby by myself.  How?,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,8,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M014.wav
Ses01F_impro02_M015,neu,175.47,176.72,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,1.25,Ses01,Ses01F,F,I know.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,2,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M015.wav
Ses01F_impro02_M016,fru,195.1047,199.52,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.415300000000002,Ses01,Ses01F,F,It's just not fair.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro02.txt,4,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro02/Ses01F_impro02_M016.wav
Ses01F_impro03_F000,hap,4.88,7.74,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.8600000000000003,Ses01,Ses01F,F,Well Vegas was awesome.,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro03.txt,4,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro03/Ses01F_impro03_F000.wav
Ses01F_impro03_F001,hap,7.93,11.37,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.4399999999999995,Ses01,Ses01F,F,"And, um, I got married.",/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Transcriptions/Ses01F_impro03.txt,5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/Sentences/Wav/Ses01F_impro03/Ses01F_impro03_F001.wav
